temple_name,district_name_en,address_text,latitude,longitude,source_note
Koteshwar Shiva Durga Temple,Kurigram,"Bhimsharma, Kurigram",,,Puja Udjapan Parishad 2025
Pangeswari Temple,Kurigram,"Rajarhat, Kurigram",,,Puja Udjapan Parishad 2025
Sri Sri Jagannath Namhatt Mandir,Kurigram,"Old Post Office Para, Kurigram",,,Puja Udjapan Parishad 2025
Sindurmati Tithadham,Lalmonirhat,Lalmonirhat,,,Puja Udjapan Parishad 2025
Banirdigi Iskcon Temple,Lalmonirhat,Lalmonirhat,,,Puja Udjapan Parishad 2025
Jora Bangla Temple,Madaripur,Madaripur,,,Puja Udjapan Parishad 2025
Sri Sri Ma Durga Temple,Magura,"Mandal Bari, Baliaghata, Sreepur, Magura",,,Puja Udjapan Parishad 2025
Patrikul Durga Temple,Moulvibazar,"Patrikul, Bhunabir, Sreemangal, Moulvibazar",,,Puja Udjapan Parishad 2025
Sri Srimangaleshwari Kali Temple,Moulvibazar,"Sreemangal, Moulvibazar",,,Puja Udjapan Parishad 2025
Sri Maheswari Durga Temple,Moulvibazar,"Saiarpur, Moulvibazar",,,Puja Udjapan Parishad 2025
Sonarang Twin Temples,Munshiganj,"Sonarang, Munshiganj",,,Puja Udjapan Parishad 2025
Shekhar Nagar Sri Raksha Kali Temple,Munshiganj,"Shirajdikhan, Munshiganj",,,Puja Udjapan Parishad 2025
Boro Kali Bari Temple,Mymensingh,Mymensingh,,,Puja Udjapan Parishad 2025
Shiv Bari Temple,Mymensingh,Mymensingh,,,Puja Udjapan Parishad 2025
Dashabhuja Bari Temple,Mymensingh,Mymensingh,,,Puja Udjapan Parishad 2025
Sri Sri Raj Rajeshwari Durga Temple,Mymensingh,"Muktagacha Zamindar Bari, Mymensingh",,,Puja Udjapan Parishad 2025
Baba Lokenath Brahmachari Ashram,Narayanganj,"Barodi, Narayanganj",,,Puja Udjapan Parishad 2025
Naogaon Sri Sri Kali Matar Prangan,Naogaon,Naogaon,,,Puja Udjapan Parishad 2025
Naogaon Shiv Kali Mandir,Naogaon,Naogaon,,,Puja Udjapan Parishad 2025
Naogaon Andamayi Maa Kali Mandir,Naogaon,Naogaon,,,Puja Udjapan Parishad 2025
Sonaimuri Kali Bari Mandir,Noakhali,"Sonaimuri, Noakhali",,,Puja Udjapan Parishad 2025
Sonaimuri Gadhadhar Kund Durga Mandir,Noakhali,"Sonaimuri, Noakhali",,,Puja Udjapan Parishad 2025
Chowmuhani Durga Mandir,Noakhali,"Chowmuhani, Noakhali",,,Puja Udjapan Parishad 2025
Chowmuhani ISKCON Mandir,Noakhali,"Chowmuhani, Noakhali",,,Puja Udjapan Parishad 2025
Kalyandi Durga Temple,Noakhali,"Kalyandi, Noakhali",,,Puja Udjapan Parishad 2025
Jagannath Temple,Pabna,Pabna,,,Puja Udjapan Parishad 2025
Utter Shaker Pur Temple,Pirojpur,Pirojpur,,,Puja Udjapan Parishad 2025
Sri Guru Temple,Pirojpur,"Kawkhali, Pirojpur",,,Puja Udjapan Parishad 2025
Temple of King Kangsa Narayan,Rajshahi,"Puthia Upazila, Rajshahi",,,Puja Udjapan Parishad 2025
Puthia Temple Complex,Rajshahi,"Puthia Upazila, Rajshahi",,,Puja Udjapan Parishad 2025
Gopal Mandir,Rajshahi,Rajshahi,,,Puja Udjapan Parishad 2025
Sree Sree Madhav Temple,Rajshahi,"Court, Rajshahi",,,Puja Udjapan Parishad 2025
Charghat Durga Temple,Rajshahi,"Charghat, Rajshahi",,,Puja Udjapan Parishad 2025
Rajshahi University Temple,Rajshahi,"Charghat, Rajshahi",,,Puja Udjapan Parishad 2025
Bolta Para Hari Temple,Rangpur,Rangpur,,,Puja Udjapan Parishad 2025
Jeshoreshwari Kali Temple,Satkhira,"Ishwaripur, Shyamnagar, Satkhira",,,Puja Udjapan Parishad 2025
"Mayer Bari, Annapurna Temple",Satkhira,"Puraton Satkhira",,,Puja Udjapan Parishad 2025
"Gokulananda Temple, Pathbari",Satkhira,"Debhata, Satkhira",,,Puja Udjapan Parishad 2025
Sri Satyanarayan Seva Mandir,Shariatpur,Shariatpur,,,Puja Udjapan Parishad 2025
Ma Kali Temple,Sherpur,Sherpur,,,Puja Udjapan Parishad 2025
Navratna Temple,Sirajganj,Sirajganj,,,Puja Udjapan Parishad 2025
Sree Sree Lakshmi Narayan and Gopal Dev Bigroho Mandir,Sirajganj,"Tarash, Sirajganj",,,Puja Udjapan Parishad 2025
Kejaura Shree Shree Kali Temple,Sunamganj,Sunamganj,,,Puja Udjapan Parishad 2025
Shri Shail,Sylhet,Sylhet,,,Puja Udjapan Parishad 2025
Sri Maha Lakshmi griba pith,Sylhet,Sylhet,,,Puja Udjapan Parishad 2025
Jaintapur Kali Temple,Sylhet,"Jaintapur, Sylhet",,,Puja Udjapan Parishad 2025
Tangail Boro Kali Temple,Tangail,Tangail,,,Puja Udjapan Parishad 2025
Paul Para Nath Temple,Tangail,Tangail,,,Puja Udjapan Parishad 2025
Sri Radha Kalachand Temple,Tangail,"Pakulla, Mirzapur, Tangail",,,Puja Udjapan Parishad 2025
Sri Sri Smashan Kali Temple,Tangail,"Mohera, Mirzapur, Tangail",,,Puja Udjapan Parishad 2025
RP Saha Nat Mandir,Tangail,"Mirzapur, Tangail",,,Puja Udjapan Parishad 2025
Ranada Prasad Saha Durga Temple,Tangail,"Mirzapur, Tangail",,,Puja Udjapan Parishad 2025
Sri Sri Radha Gopinath Iskcon Temple,Thakurgaon,Thakurgaon,,,Puja Udjapan Parishad 2025
Shri Madon Mohon Thakur Jiur Mondir,Bhola,Bhola,,,Puja Udjapan Parishad 2025
Bhabanipur Shaktipeeth,Bogra,"Bhabanipur, Sherpur Upazila, Bogra",,,Puja Udjapan Parishad 2025
