temple_name,district_name_en,address_text,latitude,longitude,source_note
Dhakeshwari National Temple,Dhaka,10 Dhakeshwari Road Bakshi Bazar Dhaka,23.725,90.395,Puja Udjapan Parishad Official List 2025
Ramna Kali Mandir,Dhaka,Ramna Park Dhaka 1000,23.736,90.399,Puja Udjapan Parishad Official List 2025
Sri Sri Chatteshwari Temple,Chittagong,Chatteshwari Road Chittagong,22.355,91.831,Puja Udjapan Parishad Official List 2025
Central Kalibari Mandir,Comilla,Kandirpar Comilla Sadar,23.461,91.181,Puja Udjapan Parishad Official List 2025
Sri Sri Radha Govinda Mandir,Noakhali,Maijdee Court Noakhali,22.869,91.099,Puja Udjapan Parishad Official List 2025
Kantajew Temple,Dinajpur,Kantanagar Kaharole Dinajpur,25.798,88.672,Puja Udjapan Parishad Official List 2025
Sri Sri Siddheswari Kali Mandir,Dhaka,Siddheswari Lane Dhaka,23.743,90.410,Puja Udjapan Parishad Official List 2025
Sri Sri Karunamoyee Kali Mandir,Sylhet,Zinda Bazar Sylhet,24.894,91.868,Puja Udjapan Parishad Official List 2025
